176,0,0,14.900000000000077
192,90,14.900000000000077
176,10,58,15.050000000000079
144,81,0,0.0001,15.050000000000079
144,83,0,0.0001,15.10000000000008
144,29,0,0.0001,15.15000000000008
144,55,0,0.0001,15.200000000000081
176,10,49,15.200000000000081
144,79,53,7.5,15.200000000000081
144,81,0,0.0001,15.250000000000082
176,10,48,15.300000000000082
144,69,65,1.875,15.300000000000082
176,10,41,15.400000000000084
144,81,54,0.9375,15.400000000000084
176,10,54,15.450000000000085
144,48,102,1.875,15.450000000000085
176,10,57,15.450000000000085
176,10,61,15.500000000000085
144,43,107,3.75,15.500000000000085
176,10,35,15.600000000000087
176,10,54,15.650000000000087
144,43,113,0.9375,15.650000000000087
176,10,38,15.700000000000088
144,71,63,1.875,15.700000000000088
176,10,60,15.700000000000088
144,38,119,0.9375,15.700000000000088
176,10,31,15.80000000000009
144,72,53,0.9375,15.80000000000009
144,88,0,0.0001,15.80000000000009
176,10,45,15.85000000000009
176,10,57,15.85000000000009
144,88,0,0.0001,15.85000000000009
176,10,64,15.900000000000091
144,36,122,0.9375,15.900000000000091
144,89,0,0.0001,15.900000000000091
176,10,32,15.900000000000091
144,81,78,11.25,15.900000000000091
144,91,0,0.0001,16.000000000000092
176,10,63,16.050000000000093
144,38,119,0.9375,16.050000000000093
176,10,32,16.100000000000094
144,64,57,1.875,16.100000000000094
144,79,0,0.0001,16.150000000000095
176,10,35,16.200000000000095
176,10,40,16.250000000000096
144,59,60,1.875,16.250000000000096
176,10,70,16.300000000000097
144,40,107,1.875,16.300000000000097
144,81,0,0.0001,16.350000000000097
144,48,0,0.0001,16.400000000000098
176,10,71,16.4500000000001
144,41,108,1.875,16.4500000000001
144,43,0,0.0001,16.4500000000001
144,91,0,0.0001,16.5000000000001
144,59,0,0.0001,16.5500000000001
144,79,0,0.0001,16.5500000000001
144,77,0,0.0001,16.5500000000001
144,43,0,0.0001,16.6000000000001
144,81,0,0.0001,16.6000000000001
144,65,0,0.0001,16.6500000000001
144,38,0,0.0001,16.6500000000001
144,41,0,0.0001,16.6500000000001
176,10,52,16.6500000000001
144,72,74,3.75,16.6500000000001
144,88,0,0.0001,16.750000000000103
144,67,0,0.0001,16.800000000000104
144,38,0,0.0001,16.800000000000104
176,10,32,16.850000000000104
144,47,47,3.75,16.850000000000104
144,41,0,0.0001,16.950000000000106
144,52,0,0.0001,16.950000000000106
176,10,82,16.950000000000106
176,10,38,17.000000000000107
